מחלקה,סדר הדפסה,בי,מיקום,מקט,שם,משפחה
דגים,303,11,311,403004,פילה פורל מעושן פרוס מצונן250 גרםNP ,NORD PORT מצונן פורל/סלמון
דגים,304,12,312,403003,פילה סלמון מעושן פרוס מצונן250 גרםNP ,NORD PORT מצונן פורל/סלמון
דגים,305,13,313,403006,פילה פורל מעושן מצונן200 גרםNP ,NORD PORT מצונן פורל/סלמון
דגים,306,14,314,403002,פילה פורל מעושן פרוס מצונן100 גרםNP ,NORD PORT מצונן פורל/סלמון
דגים,307,15,315,403005,פילה סלמון מעושן מצונן200 גרםNP ,NORD PORT מצונן פורל/סלמון
דגים,308,16,316,403001,פילה סלמון מעושן פרוס מצונן100 גרםNP ,NORD PORT מצונן פורל/סלמון
דגים,309,17,317,1017,איקרה ביצי דג טרוטונית והרינג עם פורל וסלמון180 ג',SANTA BREMOR דגים
דגים,310,18,318,1018,ביצי דג טרוטונית MOIVA עם חסילונים180 ג',SANTA BREMOR דגים
דגים,311,19,319,1015,איקרה ביצי דג טרוטונית והרינג180 ג',SANTA BREMOR דגים
דגים,312,20,320,1109,איקרה ביצי דג טרוטונית והרינג עם אבקדו,פורל וסלמון180 ג',SANTA BREMOR דגים
דגים,313,21,321,1122,סלט איקרה לבנה 180 גרםNP ,NORD PORT דגים
דגים,314,22,322,1123,סלט איקרה ורודה 180 גרםNP ,NORD PORT דגים
דגים,315,23,323,1124,סלט איקרה עם פורל וסלמון מעושנים 180 גרםNP ,NORD PORT דגים
דגים,316,28,328,1014,חתיכות פילה דג הרינג מלוח מצונן260 ג',SANTA BREMOR דגים
דגים,317,29,329,1012,חתיכות פילה דג הרינג מלוח מצונן עם בצל260 ג',SANTA BREMOR דגים
דגים,318,30,330,1013,חתיכות פילה דג הרינג מלוח מצונן עם תבלין260 ג,SANTA BREMOR דגים
דגים,319,31,331,1049,חתיכות פילה דג הרינג סקנדינבי מלוח מצונן260 ג',SANTA BREMOR דגים
דגים,320,33,333,1107,בסגנון קוויאר שחור כדורי דג פורל230 ג',NORD PORT דגים
דגים,321,32,332,1106,בסגנון קוויאר אדום כדורי דג פורל230 ג',NORD PORT דגים
דגים,322,34,334,1005,חתיכות פילה דג הרינג מלוח בשמן מצונן400 ג',SANTA BREMOR דגים
דגים,323,35,335,1047,חתיכות פילה דג הרינג מתובל מלוח בשמן400 ג',SANTA BREMOR דגים
דגים,324,36,336,1048,חתיכות פילה דג הרינג סקנדינבי מלוח בשמן400 ג',SANTA BREMOR דגים
דגים,325,26,326,1168,חתיכות פילה דג הרינג מומלח בשמן מצונן עם תבלין500 ג,NORD PORT דגים
דגים,326,24,324,1166,חתיכות פילה דג הרינג מומלח בשמן מצונן500 ג',NORD PORT דגים
דגים,327,25,325,1167,חתיכות פילה דג הרינג סקנדינבי מומלח בשמן מצונן500 ג,NORD PORT דגים
דגים,328,37,337,400001,נתחי פילה הרינג עם בצל וזיתים מצונן" פרובינציאל500  "ג6)NP),NORD PORT דגים
דגים,329,38,338,400002,נתחי פילה הרינג כבוש עם בצל מצונן520  ג6)NP),NORD PORT דגים
דגים,330,39,339,400003,נתחי פילה הרינג מומלח עם שמיר בשמן מצונן500 ג6)NP),NORD PORT דגים
דגים,331,27,327,1120,פילה דג הרינג סקנדינבי מלוח מצונן250 ג',SANTA BREMOR דגים
דגים,332,40,340,1011,פילה דג הרינג מלוח מצונן250 ג',SANTA BREMOR דגים
דגים,333,41,341,1165,פילה דג הרינג מומלח בשמן מצונן400 ג',NORD PORT דגים
דגים,334,42,342,1157,פילה הרינג בשמן400 ג',NORD PORT דגים
דגים,335,70,370,1174,פילה דג הרינג מומלח XXL בשמן מצונן300 ג',SANTA BREMOR דגים
דגים,336,69,369,1020,ביצי דג שיבוט TRESKA מומלח מצונן130 ג',SANTA BREMOR דגים
דגים,337,68,368,1019,ביצי דג זהבנון MINTAY מומלח מצונן130 ג',SANTA BREMOR דגים
דגים,338,43,343,1154,פילה דג הרינג מומלח בשמן מצונן230 ג',NORD PORT דגים
דגים,339,44,344,1000,פילה דג הרינג מומלח בשמן מצונן1200 ג(NP (3 ',NORD PORT דגים
דגים,340,45,345,1002,חתיכות פילה דג הרינג מומלח בשמן מצונן1200 ג3) NP)',NORD PORT דגים
דגים,341,46,346,1004,חתיכות פילה דג הרינג סקנדינבי מומלח בשמן מצונן1200 ג3) NP)',NORD PORT דגים
דגים,342,47,347,1001,פילה דג הרינג  סקנדינבי מומלח בשמן מצונן1200 ג3) NP) ',NORD PORT דגים
דגים,343,66,366,1175,פילה דג הרינג סקנדינבי מומלח בשמן מצונן1000 ג',SANTA BREMOR דגים
דגים,344,67,367,1006,פילה דג הרינג מומלח בשמן מצונן1000 ג',SANTA BREMOR דגים
דגים,345,64,364,1164,חתיכות פילה דג הרינג מומלח עם בצל בשמן מצונן150 ג',NORD PORT דגים
דגים,346,65,365,1163,חתיכות פילה דג הרינג מומלח בשמן מצונן150 ג',NORD PORT דגים
דגים,347,48,348,1170,חתיכות פילה דג הרינג מומלח בשמן מצונן290 ג',NORD PORT דגים
דגים,348,49,349,1173,חתיכות פילה דג הרינג סקנדינבי מומלח בשמן מצונן290 ג,NORD PORT דגים
דגים,349,50,350,1171,חתיכות פילה דג הרינג מומלח בשמן מצונן עם בצל290 ג',NORD PORT דגים
דגים,350,51,351,1172,חתיכות פילה דג הרינג מומלח בשמן מצונן עם תבלין290 ג,NORD PORT דגים
דגים,351,63,363,1055,סלט אצות ים מוחמצות200 ג',SANTA BREMOR דגים
דגים,352,62,362,1056,סלט אצות ים מוחמצות ומתובלות עם גזר200 ג',SANTA BREMOR דגים
דגים,353,61,361,1057,סלט אצות ים מוחמצות עם בצל ופפריקה מתוקה200 ג',SANTA BREMOR דגים
דגים,354,60,360,1108,סלט אצות ים-צ'וקה150 ג',SANTA BREMOR דגים
דגים,355,58,358,1010,חתיכות פילה דג הרינג מלוח מצונן200 ג',SANTA BREMOR דגים
